epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
37,200.246756,12.086305,3.95432e-01,3.04330e-01,6.82420e+00,4.29091e-01,3.29513e-01,7.27119e+00,4.32777e-01,3.32474e-01,7.32083e+00
38,204.822718,12.416825,3.89581e-01,2.98696e-01,6.72322e+00,4.24622e-01,3.24841e-01,7.19547e+00,4.28458e-01,3.27918e-01,7.24778e+00
39,209.423286,12.752396,3.83778e-01,2.93040e-01,6.62307e+00,4.20215e-01,3.20150e-01,7.12079e+00,4.24201e-01,3.23342e-01,7.17576e+00
40,214.021619,13.083689,3.78032e-01,2.87370e-01,6.52392e+00,4.15878e-01,3.15446e-01,7.04729e+00,4.20013e-01,3.18753e-01,7.10493e+00
41,218.599507,13.410643,3.72354e-01,2.81696e-01,6.42593e+00,4.11618e-01,3.10737e-01,6.97510e+00,4.15903e-01,3.14160e-01,7.03540e+00
42,223.136439,13.717763,3.66752e-01,2.76027e-01,6.32925e+00,4.07442e-01,3.06032e-01,6.90435e+00,4.11877e-01,3.09569e-01,6.96729e+00
43,227.656217,14.001013,3.61234e-01,2.70372e-01,6.23403e+00,4.03358e-01,3.01339e-01,6.83515e+00,4.07941e-01,3.04991e-01,6.90071e+00
44,232.197605,14.324094,3.55809e-01,2.64741e-01,6.14041e+00,3.99371e-01,2.96667e-01,6.76758e+00,4.04101e-01,3.00433e-01,6.83575e+00
45,236.745178,14.662139,3.50483e-01,2.59145e-01,6.04850e+00,3.95485e-01,2.92025e-01,6.70173e+00,4.00361e-01,2.95904e-01,6.77248e+00
46,241.327492,14.979971,3.45263e-01,2.53594e-01,5.95840e+00,3.91705e-01,2.87423e-01,6.63767e+00,3.96724e-01,2.91416e-01,6.71096e+00
47,245.817876,15.295368,3.40152e-01,2.48098e-01,5.87019e+00,3.88032e-01,2.82871e-01,6.57542e+00,3.93193e-01,2.86976e-01,6.65123e+00
48,250.341199,15.607272,3.35154e-01,2.42669e-01,5.78395e+00,3.84467e-01,2.78378e-01,6.51502e+00,3.89769e-01,2.82594e-01,6.59331e+00
49,254.885675,15.913681,3.30273e-01,2.37318e-01,5.69971e+00,3.81012e-01,2.73953e-01,6.45647e+00,3.86451e-01,2.78281e-01,6.53718e+00
50,259.286097,16.200209,3.25508e-01,2.32056e-01,5.61749e+00,3.77664e-01,2.69608e-01,6.39975e+00,3.83238e-01,2.74047e-01,6.48284e+00
51,263.755907,16.515815,3.20861e-01,2.26893e-01,5.53729e+00,3.74423e-01,2.65353e-01,6.34481e+00,3.80129e-01,2.69902e-01,6.43024e+00
52,268.211148,16.864951,3.16330e-01,2.21841e-01,5.45909e+00,3.71283e-01,2.61199e-01,6.29161e+00,3.77118e-01,2.65855e-01,6.37932e+00
53,272.691005,17.216309,3.11913e-01,2.16911e-01,5.38286e+00,3.68241e-01,2.57156e-01,6.24006e+00,3.74202e-01,2.61919e-01,6.32999e+00
54,277.158281,17.539770,3.07606e-01,2.12115e-01,5.30853e+00,3.65291e-01,2.53236e-01,6.19007e+00,3.71375e-01,2.58102e-01,6.28217e+00
55,281.598284,17.837893,3.03404e-01,2.07463e-01,5.23602e+00,3.62427e-01,2.49447e-01,6.14154e+00,3.68631e-01,2.54415e-01,6.23575e+00
56,286.488843,18.158643,2.99303e-01,2.02967e-01,5.16525e+00,3.59642e-01,2.45801e-01,6.09435e+00,3.65962e-01,2.50867e-01,6.19060e+00
57,291.361307,18.494536,2.95298e-01,1.98635e-01,5.09612e+00,3.56929e-01,2.42306e-01,6.04837e+00,3.63361e-01,2.47469e-01,6.14661e+00
58,296.204630,18.805916,2.91380e-01,1.94479e-01,5.02852e+00,3.54280e-01,2.38972e-01,6.00348e+00,3.60821e-01,2.44229e-01,6.10363e+00
59,300.769417,19.140059,2.87545e-01,1.90505e-01,4.96233e+00,3.51686e-01,2.35807e-01,5.95952e+00,3.58332e-01,2.41156e-01,6.06153e+00
