epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
37,98.191549,22.174480,3.49816e-01,2.72280e-01,5.21180e+01,3.66487e-01,2.85232e-01,5.73845e+01,3.82350e-01,2.98028e-01,6.01687e+01
38,99.594268,22.697629,3.42390e-01,2.66439e-01,5.10117e+01,3.59402e-01,2.79656e-01,5.62752e+01,3.75568e-01,2.92723e-01,5.91014e+01
39,101.049826,23.295437,3.34905e-01,2.60550e-01,4.98964e+01,3.52237e-01,2.74017e-01,5.51533e+01,3.68684e-01,2.87338e-01,5.80181e+01
40,102.539037,23.926618,3.27366e-01,2.54619e-01,4.87733e+01,3.44997e-01,2.68319e-01,5.40197e+01,3.61704e-01,2.81878e-01,5.69197e+01
41,104.009610,24.540950,3.19782e-01,2.48652e-01,4.76434e+01,3.37689e-01,2.62567e-01,5.28754e+01,3.54633e-01,2.76347e-01,5.58069e+01
42,105.473078,25.109160,3.12160e-01,2.42655e-01,4.65078e+01,3.30319e-01,2.56767e-01,5.17214e+01,3.47475e-01,2.70749e-01,5.46805e+01
43,106.917081,25.697023,3.04508e-01,2.36634e-01,4.53678e+01,3.22894e-01,2.50923e-01,5.05587e+01,3.40236e-01,2.65087e-01,5.35414e+01
44,108.369667,26.281751,2.96834e-01,2.30596e-01,4.42243e+01,3.15419e-01,2.45041e-01,4.93884e+01,3.32922e-01,2.59367e-01,5.23904e+01
45,109.894768,26.945240,2.89144e-01,2.24546e-01,4.30787e+01,3.07902e-01,2.39127e-01,4.82113e+01,3.25539e-01,2.53593e-01,5.12286e+01
46,111.328466,27.509761,2.81447e-01,2.18491e-01,4.19320e+01,3.00349e-01,2.33186e-01,4.70287e+01,3.18092e-01,2.47770e-01,5.00567e+01
47,112.821244,28.109347,2.73751e-01,2.12438e-01,4.07853e+01,2.92767e-01,2.27223e-01,4.58415e+01,3.10588e-01,2.41903e-01,4.88758e+01
