epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
37,43.056550,16.949041,1.40577e-01,6.23533e-02,5.09061e+01,1.40059e-01,6.20142e-02,5.25638e+01,1.40373e-01,6.22381e-02,5.51541e+01
38,43.813004,17.397323,1.37273e-01,5.84518e-02,4.97098e+01,1.36761e-01,5.81227e-02,5.13260e+01,1.37075e-01,5.83449e-02,5.38581e+01
39,44.623948,17.893500,1.34108e-01,5.48350e-02,4.85638e+01,1.33601e-01,5.45155e-02,5.01402e+01,1.33915e-01,5.47358e-02,5.26164e+01
40,45.413862,18.387922,1.31059e-01,5.14930e-02,4.74594e+01,1.30556e-01,5.11826e-02,4.89975e+01,1.30869e-01,5.14007e-02,5.14198e+01
41,46.168227,18.858657,1.28103e-01,4.84138e-02,4.63890e+01,1.27605e-01,4.81120e-02,4.78900e+01,1.27917e-01,4.83277e-02,5.02599e+01
42,46.941432,19.336351,1.25222e-01,4.55836e-02,4.53458e+01,1.24729e-01,4.52900e-02,4.68105e+01,1.25040e-01,4.55032e-02,4.91294e+01
43,47.731426,19.812224,1.22400e-01,4.29873e-02,4.43238e+01,1.21911e-01,4.27016e-02,4.57528e+01,1.22221e-01,4.29119e-02,4.80218e+01
44,48.527948,20.314039,1.19623e-01,4.06087e-02,4.33181e+01,1.19137e-01,4.03304e-02,4.47121e+01,1.19447e-01,4.05376e-02,4.69319e+01
45,49.297567,20.789174,1.16880e-01,3.84307e-02,4.23248e+01,1.16398e-01,3.81594e-02,4.36841e+01,1.16707e-01,3.83635e-02,4.58553e+01
46,50.066119,21.259437,1.14163e-01,3.64359e-02,4.13411e+01,1.13685e-01,3.61711e-02,4.26658e+01,1.13993e-01,3.63719e-02,4.47890e+01
47,50.841154,21.721262,1.11467e-01,3.46066e-02,4.03647e+01,1.10992e-01,3.43480e-02,4.16550e+01,1.11299e-01,3.45455e-02,4.37306e+01
48,51.620037,22.188178,1.08787e-01,3.29257e-02,3.93944e+01,1.08315e-01,3.26728e-02,4.06505e+01,1.08622e-01,3.28669e-02,4.26787e+01
49,52.371645,22.644275,1.06123e-01,3.13763e-02,3.84297e+01,1.05653e-01,3.11290e-02,3.96516e+01,1.05960e-01,3.13194e-02,4.16329e+01
50,53.123216,23.100741,1.03474e-01,2.99425e-02,3.74705e+01,1.03007e-01,2.97007e-02,3.86583e+01,1.03314e-01,2.98872e-02,4.05931e+01
51,53.870235,23.549316,1.00843e-01,2.86095e-02,3.65175e+01,1.00377e-01,2.83730e-02,3.76712e+01,1.00684e-01,2.85555e-02,3.95598e+01
52,54.601723,23.994535,9.82303e-02,2.73638e-02,3.55715e+01,9.77656e-02,2.71324e-02,3.66913e+01,9.80738e-02,2.73107e-02,3.85342e+01
53,55.355267,24.447002,9.56408e-02,2.61929e-02,3.46338e+01,9.51770e-02,2.59667e-02,3.57198e+01,9.54862e-02,2.61407e-02,3.75175e+01
54,56.114454,24.898433,9.30782e-02,2.50862e-02,3.37058e+01,9.26147e-02,2.48650e-02,3.47581e+01,9.29254e-02,2.50346e-02,3.65113e+01
55,56.885088,25.359689,9.05467e-02,2.40343e-02,3.27891e+01,9.00832e-02,2.38181e-02,3.38081e+01,9.03958e-02,2.39831e-02,3.55174e+01
56,57.602474,25.792225,8.80510e-02,2.30291e-02,3.18853e+01,8.75870e-02,2.28179e-02,3.28713e+01,8.79018e-02,2.29783e-02,3.45375e+01
57,58.342933,26.248190,8.55955e-02,2.20640e-02,3.09961e+01,8.51307e-02,2.18578e-02,3.19494e+01,8.54482e-02,2.20135e-02,3.35734e+01
58,59.065215,26.685908,8.31847e-02,2.11336e-02,3.01231e+01,8.27186e-02,2.09323e-02,3.10441e+01,8.30392e-02,2.10834e-02,3.26269e+01
59,59.905049,27.169001,8.08226e-02,2.02339e-02,2.92678e+01,8.03548e-02,2.00374e-02,3.01570e+01,8.06789e-02,2.01838e-02,3.16995e+01
60,60.685750,27.640709,7.85129e-02,1.93614e-02,2.84314e+01,7.80431e-02,1.91697e-02,2.92894e+01,7.83711e-02,1.93116e-02,3.07928e+01
