epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
37,438.624877,214.746084,5.65255e-02,3.38706e-02,9.12151e-01,5.65510e-02,3.38858e-02,9.11856e-01,5.67525e-02,3.39844e-02,9.11689e-01
38,449.252738,220.168450,5.64166e-02,3.38282e-02,9.10394e-01,5.64429e-02,3.38439e-02,9.10113e-01,5.66444e-02,3.39428e-02,9.09953e-01
39,459.860733,225.306522,5.63118e-02,3.37848e-02,9.08703e-01,5.63390e-02,3.38011e-02,9.08437e-01,5.65403e-02,3.39002e-02,9.08282e-01
40,470.964699,230.903937,5.62108e-02,3.37421e-02,9.07073e-01,5.62389e-02,3.37591e-02,9.06823e-01,5.64402e-02,3.38582e-02,9.06673e-01
41,481.569206,236.199776,5.61135e-02,3.36999e-02,9.05503e-01,5.61425e-02,3.37175e-02,9.05269e-01,5.63437e-02,3.38166e-02,9.05123e-01
42,491.657268,241.182475,5.60198e-02,3.36574e-02,9.03991e-01,5.60496e-02,3.36756e-02,9.03770e-01,5.62508e-02,3.37749e-02,9.03630e-01
43,502.798652,246.683943,5.59294e-02,3.36161e-02,9.02531e-01,5.59599e-02,3.36348e-02,9.02324e-01,5.61611e-02,3.37342e-02,9.02190e-01
44,513.593822,252.139720,5.58420e-02,3.35742e-02,9.01122e-01,5.58734e-02,3.35931e-02,9.00929e-01,5.60746e-02,3.36928e-02,9.00799e-01
45,524.563644,257.503739,5.57575e-02,3.35329e-02,8.99758e-01,5.57897e-02,3.35520e-02,8.99581e-01,5.59909e-02,3.36521e-02,8.99455e-01
46,535.937976,263.148957,5.56757e-02,3.34925e-02,8.98438e-01,5.57088e-02,3.35117e-02,8.98276e-01,5.59098e-02,3.36122e-02,8.98152e-01
47,546.784317,268.535946,5.55963e-02,3.34526e-02,8.97157e-01,5.56302e-02,3.34719e-02,8.97009e-01,5.58311e-02,3.35727e-02,8.96889e-01
48,558.405835,274.328855,5.55191e-02,3.34132e-02,8.95911e-01,5.55539e-02,3.34326e-02,8.95778e-01,5.57546e-02,3.35337e-02,8.95660e-01
49,570.128703,280.252795,5.54439e-02,3.33735e-02,8.94697e-01,5.54795e-02,3.33930e-02,8.94578e-01,5.56801e-02,3.34941e-02,8.94462e-01
50,581.183514,285.663551,5.53704e-02,3.33343e-02,8.93512e-01,5.54068e-02,3.33538e-02,8.93406e-01,5.56073e-02,3.34551e-02,8.93293e-01
51,592.272820,291.213336,5.52985e-02,3.32957e-02,8.92351e-01,5.53357e-02,3.33152e-02,8.92259e-01,5.55361e-02,3.34166e-02,8.92149e-01
52,602.809159,296.468820,5.52280e-02,3.32565e-02,8.91213e-01,5.52659e-02,3.32760e-02,8.91134e-01,5.54662e-02,3.33774e-02,8.91026e-01
53,613.965856,301.889976,5.51586e-02,3.32192e-02,8.90093e-01,5.51973e-02,3.32388e-02,8.90029e-01,5.53974e-02,3.33400e-02,8.89920e-01
54,625.185891,307.550808,5.50901e-02,3.31806e-02,8.88988e-01,5.51299e-02,3.32003e-02,8.88941e-01,5.53295e-02,3.33012e-02,8.88830e-01
55,635.310455,312.649480,5.50224e-02,3.31422e-02,8.87895e-01,5.50632e-02,3.31622e-02,8.87866e-01,5.52624e-02,3.32627e-02,8.87752e-01
56,646.119116,317.910801,5.49552e-02,3.31033e-02,8.86812e-01,5.49972e-02,3.31234e-02,8.86802e-01,5.51958e-02,3.32234e-02,8.86682e-01
57,656.948457,323.378034,5.48884e-02,3.30646e-02,8.85734e-01,5.49317e-02,3.30850e-02,8.85745e-01,5.51296e-02,3.31844e-02,8.85618e-01
58,667.435525,328.558979,5.48218e-02,3.30254e-02,8.84659e-01,5.48663e-02,3.30460e-02,8.84690e-01,5.50634e-02,3.31448e-02,8.84556e-01
59,678.841991,334.200234,5.47551e-02,3.29855e-02,8.83582e-01,5.48008e-02,3.30062e-02,8.83634e-01,5.49973e-02,3.31044e-02,8.83493e-01
60,689.906818,339.748372,5.46881e-02,3.29451e-02,8.82501e-01,5.47349e-02,3.29660e-02,8.82572e-01,5.49308e-02,3.30635e-02,8.82425e-01
61,700.866178,345.237160,5.46206e-02,3.29040e-02,8.81412e-01,5.46686e-02,3.29250e-02,8.81503e-01,5.48638e-02,3.30218e-02,8.81349e-01
62,712.013434,350.671512,5.45524e-02,3.28623e-02,8.80311e-01,5.46019e-02,3.28834e-02,8.80427e-01,5.47961e-02,3.29794e-02,8.80261e-01
63,723.051536,356.233376,5.44832e-02,3.28197e-02,8.79195e-01,5.45342e-02,3.28409e-02,8.79336e-01,5.47274e-02,3.29360e-02,8.79158e-01
64,733.623941,361.422993,5.44131e-02,3.27764e-02,8.78063e-01,5.44656e-02,3.27977e-02,8.78230e-01,5.46577e-02,3.28919e-02,8.78038e-01
65,744.957557,367.119289,5.43419e-02,3.27322e-02,8.76915e-01,5.43960e-02,3.27534e-02,8.77108e-01,5.45869e-02,3.28468e-02,8.76901e-01
66,755.975644,372.642880,5.42697e-02,3.26871e-02,8.75749e-01,5.43255e-02,3.27084e-02,8.75971e-01,5.45151e-02,3.28008e-02,8.75747e-01
67,767.583298,378.145288,5.41964e-02,3.26410e-02,8.74566e-01,5.42542e-02,3.26622e-02,8.74821e-01,5.44422e-02,3.27536e-02,8.74577e-01
68,779.512745,384.062222,5.41222e-02,3.25944e-02,8.73369e-01,5.41820e-02,3.26155e-02,8.73657e-01,5.43685e-02,3.27060e-02,8.73392e-01
69,791.884963,390.361076,5.40474e-02,3.25460e-02,8.72162e-01,5.41092e-02,3.25670e-02,8.72483e-01,5.42939e-02,3.26565e-02,8.72194e-01
70,803.501676,396.099373,5.39721e-02,3.24970e-02,8.70946e-01,5.40358e-02,3.25178e-02,8.71299e-01,5.42188e-02,3.26064e-02,8.70988e-01
71,815.001824,401.843658,5.38962e-02,3.24471e-02,8.69722e-01,5.39618e-02,3.24677e-02,8.70106e-01,5.41431e-02,3.25552e-02,8.69771e-01
72,826.237770,407.388654,5.38198e-02,3.23962e-02,8.68490e-01,5.38873e-02,3.24168e-02,8.68905e-01,5.40669e-02,3.25032e-02,8.68547e-01
73,837.890744,413.203277,5.37429e-02,3.23444e-02,8.67249e-01,5.38123e-02,3.23647e-02,8.67695e-01,5.39901e-02,3.24501e-02,8.67313e-01
74,849.832430,418.980413,5.36654e-02,3.22912e-02,8.65998e-01,5.37366e-02,3.23113e-02,8.66475e-01,5.39127e-02,3.23956e-02,8.66070e-01
75,861.713413,424.932257,5.35872e-02,3.22376e-02,8.64736e-01,5.36602e-02,3.22574e-02,8.65243e-01,5.38346e-02,3.23407e-02,8.64816e-01
76,873.698937,431.050175,5.35082e-02,3.21821e-02,8.63460e-01,5.35831e-02,3.22018e-02,8.63999e-01,5.37558e-02,3.22840e-02,8.63550e-01
77,884.440927,436.272143,5.34283e-02,3.21261e-02,8.62171e-01,5.35052e-02,3.21456e-02,8.62743e-01,5.36761e-02,3.22268e-02,8.62269e-01
78,895.386767,441.701942,5.33474e-02,3.20687e-02,8.60866e-01,5.34263e-02,3.20882e-02,8.61472e-01,5.35954e-02,3.21682e-02,8.60973e-01
79,907.180353,447.534783,5.32654e-02,3.20094e-02,8.59544e-01,5.33463e-02,3.20289e-02,8.60182e-01,5.35136e-02,3.21077e-02,8.59659e-01
80,919.097455,453.432311,5.31823e-02,3.19487e-02,8.58202e-01,5.32652e-02,3.19683e-02,8.58874e-01,5.34306e-02,3.20458e-02,8.58325e-01
81,930.017055,459.305094,5.30979e-02,3.18859e-02,8.56840e-01,5.31829e-02,3.19056e-02,8.57546e-01,5.33463e-02,3.19818e-02,8.56972e-01
82,940.364003,464.234418,5.30122e-02,3.18220e-02,8.55458e-01,5.30991e-02,3.18419e-02,8.56196e-01,5.32607e-02,3.19168e-02,8.55597e-01
83,951.601615,469.827255,5.29253e-02,3.17564e-02,8.54054e-01,5.30141e-02,3.17764e-02,8.54826e-01,5.31737e-02,3.18499e-02,8.54199e-01
84,962.082397,475.126267,5.28369e-02,3.16885e-02,8.52628e-01,5.29277e-02,3.17085e-02,8.53432e-01,5.30853e-02,3.17808e-02,8.52779e-01
85,973.264885,480.673490,5.27471e-02,3.16196e-02,8.51179e-01,5.28397e-02,3.16396e-02,8.52012e-01,5.29955e-02,3.17107e-02,8.51335e-01
86,983.990023,486.223431,5.26558e-02,3.15482e-02,8.49706e-01,5.27501e-02,3.15683e-02,8.50568e-01,5.29041e-02,3.16382e-02,8.49868e-01
87,994.684190,491.404085,5.25632e-02,3.14754e-02,8.48211e-01,5.26592e-02,3.14957e-02,8.49103e-01,5.28114e-02,3.15644e-02,8.48378e-01
88,1005.905512,496.997128,5.24692e-02,3.14006e-02,8.46695e-01,5.25671e-02,3.14211e-02,8.47618e-01,5.27174e-02,3.14884e-02,8.46868e-01
89,1016.824499,502.550222,5.23741e-02,3.13234e-02,8.45161e-01,5.24739e-02,3.13441e-02,8.46114e-01,5.26222e-02,3.14104e-02,8.45340e-01
90,1027.804194,507.917233,5.22780e-02,3.12463e-02,8.43609e-01,5.23796e-02,3.12673e-02,8.44594e-01,5.25260e-02,3.13322e-02,8.43794e-01
91,1038.649239,513.385068,5.21809e-02,3.11676e-02,8.42042e-01,5.22847e-02,3.11889e-02,8.43064e-01,5.24289e-02,3.12526e-02,8.42233e-01
92,1049.312637,518.734568,5.20833e-02,3.10886e-02,8.40467e-01,5.21891e-02,3.11102e-02,8.41523e-01,5.23311e-02,3.11728e-02,8.40663e-01
