epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
37,66.428599,34.473719,3.90163e-03,6.86658e-04,5.81291e-01,4.52284e-03,7.88512e-04,7.08186e-01,5.22209e-03,8.87207e-04,8.21777e-01
38,67.598702,35.373863,3.90150e-03,6.86623e-04,5.81273e-01,4.52287e-03,7.88499e-04,7.08191e-01,5.22213e-03,8.87196e-04,8.21782e-01
39,68.759373,36.266233,3.90140e-03,6.86591e-04,5.81257e-01,4.52290e-03,7.88486e-04,7.08197e-01,5.22216e-03,8.87185e-04,8.21787e-01
40,69.933878,37.201464,3.90130e-03,6.86562e-04,5.81243e-01,4.52294e-03,7.88474e-04,7.08202e-01,5.22218e-03,8.87175e-04,8.21791e-01
41,71.216760,38.148331,3.90122e-03,6.86536e-04,5.81230e-01,4.52297e-03,7.88464e-04,7.08207e-01,5.22221e-03,8.87166e-04,8.21794e-01
42,72.443334,39.056670,3.90114e-03,6.86514e-04,5.81219e-01,4.52300e-03,7.88454e-04,7.08211e-01,5.22223e-03,8.87157e-04,8.21798e-01
43,73.629101,39.941456,3.90107e-03,6.86494e-04,5.81209e-01,4.52303e-03,7.88446e-04,7.08216e-01,5.22224e-03,8.87148e-04,8.21800e-01
44,74.815016,40.838486,3.90101e-03,6.86476e-04,5.81200e-01,4.52305e-03,7.88439e-04,7.08220e-01,5.22226e-03,8.87140e-04,8.21803e-01
45,75.951534,41.690393,3.90096e-03,6.86461e-04,5.81192e-01,4.52308e-03,7.88432e-04,7.08224e-01,5.22227e-03,8.87132e-04,8.21805e-01
46,77.200744,42.657332,3.90091e-03,6.86449e-04,5.81184e-01,4.52311e-03,7.88427e-04,7.08228e-01,5.22229e-03,8.87125e-04,8.21807e-01
