epoch,t_total_s,train_gpu,train_rmse,train_mae,train_er,val_rmse,val_mae,val_er,u_rmse,u_mae,u_er
37,43.577664,30.204845,8.29328e-04,1.20242e-04,3.00319e-01,2.56908e-03,1.64510e-04,9.64171e-01,2.47181e-03,1.76089e-04,9.71199e-01
38,44.494354,31.020602,8.29254e-04,1.20206e-04,3.00292e-01,2.56897e-03,1.64492e-04,9.64132e-01,2.47178e-03,1.76076e-04,9.71186e-01
39,45.411500,31.843023,8.29186e-04,1.20172e-04,3.00268e-01,2.56888e-03,1.64475e-04,9.64097e-01,2.47175e-03,1.76065e-04,9.71174e-01
40,46.330726,32.665289,8.29124e-04,1.20141e-04,3.00245e-01,2.56880e-03,1.64460e-04,9.64067e-01,2.47172e-03,1.76054e-04,9.71164e-01
41,47.312265,33.532198,8.29065e-04,1.20112e-04,3.00224e-01,2.56873e-03,1.64446e-04,9.64039e-01,2.47170e-03,1.76045e-04,9.71156e-01
42,48.258406,34.390366,8.29010e-04,1.20085e-04,3.00204e-01,2.56866e-03,1.64432e-04,9.64014e-01,2.47168e-03,1.76036e-04,9.71148e-01
43,49.168356,35.212823,8.28958e-04,1.20060e-04,3.00185e-01,2.56860e-03,1.64420e-04,9.63991e-01,2.47166e-03,1.76028e-04,9.71141e-01
44,50.155794,36.105629,8.28910e-04,1.20036e-04,3.00167e-01,2.56854e-03,1.64408e-04,9.63970e-01,2.47165e-03,1.76020e-04,9.71134e-01
45,51.108526,36.955500,8.28864e-04,1.20013e-04,3.00151e-01,2.56849e-03,1.64398e-04,9.63950e-01,2.47163e-03,1.76013e-04,9.71128e-01
46,52.030860,37.739880,8.28820e-04,1.19992e-04,3.00135e-01,2.56844e-03,1.64387e-04,9.63932e-01,2.47162e-03,1.76006e-04,9.71122e-01
47,52.967399,38.566633,8.28779e-04,1.19971e-04,3.00120e-01,2.56839e-03,1.64377e-04,9.63914e-01,2.47160e-03,1.75999e-04,9.71117e-01
48,53.914234,39.417889,8.28740e-04,1.19952e-04,3.00106e-01,2.56835e-03,1.64368e-04,9.63898e-01,2.47159e-03,1.75993e-04,9.71112e-01
49,54.856356,40.232665,8.28703e-04,1.19933e-04,3.00092e-01,2.56831e-03,1.64359e-04,9.63882e-01,2.47158e-03,1.75988e-04,9.71107e-01
50,55.828143,41.070573,8.28667e-04,1.19915e-04,3.00080e-01,2.56827e-03,1.64351e-04,9.63868e-01,2.47157e-03,1.75982e-04,9.71103e-01
51,56.703548,41.835659,8.28633e-04,1.19898e-04,3.00067e-01,2.56823e-03,1.64343e-04,9.63854e-01,2.47156e-03,1.75977e-04,9.71099e-01
52,57.623357,42.652970,8.28601e-04,1.19882e-04,3.00056e-01,2.56820e-03,1.64335e-04,9.63840e-01,2.47155e-03,1.75972e-04,9.71094e-01
53,58.568685,43.498547,8.28570e-04,1.19867e-04,3.00044e-01,2.56816e-03,1.64327e-04,9.63827e-01,2.47153e-03,1.75967e-04,9.71090e-01
54,59.518064,44.337282,8.28540e-04,1.19852e-04,3.00034e-01,2.56813e-03,1.64320e-04,9.63815e-01,2.47152e-03,1.75963e-04,9.71087e-01
55,60.517361,45.190139,8.28512e-04,1.19838e-04,3.00023e-01,2.56810e-03,1.64313e-04,9.63803e-01,2.47152e-03,1.75959e-04,9.71083e-01
56,61.442367,46.035613,8.28484e-04,1.19824e-04,3.00013e-01,2.56807e-03,1.64306e-04,9.63792e-01,2.47151e-03,1.75954e-04,9.71079e-01
57,62.414942,46.876592,8.28458e-04,1.19811e-04,3.00004e-01,2.56804e-03,1.64300e-04,9.63781e-01,2.47150e-03,1.75950e-04,9.71076e-01
58,63.317843,47.688146,8.28433e-04,1.19798e-04,2.99995e-01,2.56801e-03,1.64293e-04,9.63770e-01,2.47149e-03,1.75947e-04,9.71072e-01
59,64.279118,48.550044,8.28408e-04,1.19786e-04,2.99986e-01,2.56798e-03,1.64287e-04,9.63760e-01,2.47148e-03,1.75943e-04,9.71069e-01
60,65.233262,49.406289,8.28385e-04,1.19774e-04,2.99977e-01,2.56796e-03,1.64281e-04,9.63750e-01,2.47147e-03,1.75940e-04,9.71066e-01
61,66.161484,50.218160,8.28362e-04,1.19762e-04,2.99969e-01,2.56793e-03,1.64275e-04,9.63741e-01,2.47146e-03,1.75936e-04,9.71063e-01
62,67.152497,51.074810,8.28340e-04,1.19751e-04,2.99961e-01,2.56791e-03,1.64270e-04,9.63732e-01,2.47146e-03,1.75933e-04,9.71060e-01
